24
0.00	0.28906 0.53125 0.48438 0.43750 0.14063 0.15625 0.40625 0.15625 0.34375 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.10156 0.35156
6.65	0.52344 0.51563 0.47656 0.42188 0.15625 0.18750 0.44531 0.12500 0.30469 0.00000 0.00000 0.00000 0.00000 0.07031 0.04688 0.04688 0.16406 0.33594
9.70	0.46485 0.41015 0.41797 0.80078 0.08985 0.06250 0.46582 0.19727 0.31542 0.17969 0.26563 0.30079 0.29688 0.37501 0.39453 0.79388 0.57813 0.55078
11.68	0.54110 0.43750 0.34375 0.96094 0.02344 0.12500 0.47656 0.25000 0.35156 0.69531 0.71094 0.30469 0.53125 0.67188 0.21094 0.65625 0.99219 0.77344
12.76	0.61644 0.46485 0.43554 0.85156 0.01562 0.18750 0.47852 0.30860 0.37305 0.56250 0.68750 0.39844 0.67188 0.79688 0.62500 0.33594 0.36719 0.49219
14.82	0.42466 0.47852 0.48144 0.79688 0.01172 0.21875 0.47949 0.33789 0.38379 0.49610 0.67578 0.49219 0.41406 0.37500 0.35938 0.00000 0.99219 0.49219
16.89	0.48047 0.49219 0.52734 0.74219 0.00781 0.25000 0.48047 0.36719 0.39453 0.42969 0.66406 0.50781 0.72656 0.90625 0.62500 0.91406 0.79688 0.49219
22.74	0.57534 0.49414 0.52051 0.68164 0.13086 0.31250 0.48535 0.40039 0.42089 0.33204 0.35156 0.56250 0.52735 0.63014 0.58904 0.05479 0.72266 0.49414
27.85	0.49023 0.49609 0.29452 0.62109 0.25391 0.37500 0.49023 0.43359 0.44726 0.23438 0.03906 0.61719 0.32813 0.70313 0.56250 0.70703 0.64844 0.49609
31.71	0.55479 0.45205 0.56164 0.37304 0.36133 0.41407 0.53808 0.60742 0.51660 0.27735 0.17968 0.42579 0.43751 0.65235 0.50390 0.80664 0.51563 0.24804
40.02	0.60938 0.37500 0.64844 0.12500 0.46875 0.45313 0.58594 0.78125 0.58594 0.32031 0.32031 0.23438 0.54688 0.60156 0.44531 0.90625 0.38281 0.00000
48.16	0.62501 0.39844 0.66016 0.14453 0.51563 0.50391 0.47657 0.55860 0.57422 0.29688 0.16015 0.36719 0.57032 0.67188 0.30137 0.42466 0.86301 0.18493
60.17	0.64063 0.42188 0.67188 0.16406 0.56250 0.55469 0.36719 0.33594 0.56250 0.27344 0.00000 0.50000 0.59375 0.74219 0.79688 0.74219 0.79688 0.19531
64.43	0.57031 0.46094 0.58594 0.33203 0.72656 0.29688 0.16406 0.00000 0.53125 0.25781 0.17188 0.46094 0.37500 0.87500 0.50000 0.47656 0.63281 0.99219
74.33	0.49219 0.48047 0.54297 0.04688 0.99219 0.39844 0.33203 0.25000 0.51563 0.19531 0.09375 0.21094 0.00000 0.70313 0.54688 0.98438 0.77344 0.35938
87.33	0.58204 0.45899 0.54102 0.06250 0.70704 0.35938 0.37402 0.31250 0.51173 0.27148 0.19532 0.28321 0.12500 0.65235 0.53516 0.86329 0.70508 0.51172
90.92	0.67188 0.43750 0.53906 0.07813 0.42188 0.32031 0.41601 0.37500 0.50782 0.34765 0.29688 0.35547 0.25000 0.60157 0.52344 0.74219 0.63672 0.66406
94.78	0.62329 0.44531 0.55468 0.11133 0.44336 0.29883 0.38818 0.29101 0.53711 0.35644 0.27930 0.37207 0.23047 0.62891 0.52051 0.71192 0.61963 0.64355
101.97	0.84247 0.45313 0.57031 0.14454 0.46485 0.27735 0.36035 0.20703 0.56641 0.36523 0.26172 0.38868 0.21094 0.65626 0.51758 0.68165 0.60254 0.62304
105.66	0.47656 0.53125 0.50000 0.39063 0.07031 0.34375 0.26563 0.47656 0.81250 0.42188 0.45313 0.41406 0.46094 0.60938 0.75000 0.00000 0.74219 0.64844
113.38	0.71485 0.48438 0.55078 0.19141 0.50390 0.28516 0.21485 0.01953 0.58594 0.39843 0.34765 0.52344 0.50001 0.58594 0.33399 0.44337 0.58887 0.61523
134.05	0.62305 0.49219 0.52539 0.18165 0.50195 0.31055 0.16993 0.00977 0.56641 0.40624 0.40820 0.57422 0.66407 0.52344 0.24512 0.35450 0.59913 0.63183
151.93	0.63699 0.49610 0.51270 0.17676 0.50098 0.32324 0.14746 0.00488 0.55665 0.41015 0.43848 0.59961 0.46575 0.09589 0.20068 0.31007 0.60425 0.64014
171.43	0.56164 0.52740 0.50000 0.37671 0.15068 0.15753 0.96575 0.13699 0.54688 0.08219 0.45890 0.13699 1.00000 0.00000 0.00000 0.26563 0.60938 0.64844
