0.0096830393 0.0000000000 -0.0096830393; 1.0000000000 -1.9806196229 0.9806339215
0.0064656006 0.0000000000 -0.0064656006; 1.0000000000 -1.9867990805 0.9870687988
0.0093480670 0.0000000000 -0.0093480670; 1.0000000000 -1.9807384338 0.9813038659
0.0134983522 0.0000000000 -0.0134983522; 1.0000000000 -1.9718194784 0.9730032956
0.0194557520 0.0000000000 -0.0194557520; 1.0000000000 -1.9586146536 0.9610884960
0.0279699291 0.0000000000 -0.0279699291; 1.0000000000 -1.9389045007 0.9440601419
0.0400639818 0.0000000000 -0.0400639818; 1.0000000000 -1.9091691308 0.9198720365
0.0570984371 0.0000000000 -0.0570984371; 1.0000000000 -1.8637081012 0.8858031258
0.0808187996 0.0000000000 -0.0808187996; 1.0000000000 -1.7931129091 0.8383624009
0.1133602665 0.0000000000 -0.1133602665; 1.0000000000 -1.6816664394 0.7732794670
0.1571893518 0.0000000000 -0.1571893518; 1.0000000000 -1.5031787321 0.6856212964
0.2150215116 0.0000000000 -0.2150215116; 1.0000000000 -1.2153523752 0.5699569768
0.2899440512 0.0000000000 -0.2899440512; 1.0000000000 -0.7561337277 0.4201118975
0.3864726195 0.0000000000 -0.3864726195; 1.0000000000 -0.0587996294 0.2270547609
0.5148486849 0.0000000000 -0.5148486849; 1.0000000000 0.8540434126 -0.0296973699
